dataset,check,rows,pct
train,missing_cells,0,0.0
train,exact_duplicates,0,0.0
train,invalid_playerId,93,0.186
train,invalid_teamId,87,0.174
train,invalid_gameId,93,0.186
train,rankPts_-1,19191,38.382
train,killPts_conditional_zero,29840,59.68
train,winPts_conditional_zero,29840,59.68
train,kills_without_damage,53,0.106
train,combat_without_distance,102,0.204
test,missing_cells,0,0.0
test,exact_duplicates,0,0.0
test,invalid_playerId,14,0.28
test,invalid_teamId,8,0.16
test,invalid_gameId,10,0.2
test,rankPts_-1,1888,37.76
test,killPts_conditional_zero,3000,60.0
test,winPts_conditional_zero,3000,60.0
test,kills_without_damage,5,0.1
test,combat_without_distance,5,0.1
