feature,train_mean,test_mean,standardized_mean_difference,ks_statistic,ks_pvalue,psi,wasserstein_over_train_std,train_zero_pct,test_zero_pct,zero_pct_point_change,train_p95,test_p95
damages,130.00224154999998,126.04163961999998,-0.023468679389675572,0.01311999999999991,0.4109727915946594,0.005085266507763364,0.029847073794836802,27.810000000000002,27.279999999999998,-0.5300000000000027,457.0,444.7250000000001
maxRank,44.39666,44.597,0.008445291911005641,0.010040000000000007,0.7453353092781518,0.0035378805550539713,0.010156776644891978,0.0,0.0,0.0,97.0,97.0
resource_activity,6.1459,6.1088,-0.006920877236855404,0.01085999999999998,0.6531280793201024,0.0023459206260330935,0.015860188212329818,5.078,5.04,-0.03799999999999984,17.0,16.0
walk_distance_per_match_minute,44.04421950191255,43.96612774518104,-0.0017427565995408955,0.008059999999999956,0.9269489331959715,0.001807484268956763,0.008344519725492876,2.204,2.2800000000000002,0.07600000000000003,130.77611369637393,131.77747144417802
weapons,3.66406,3.6592,-0.001970665205660435,0.010819999999999996,0.6576768799708942,0.001797365587534854,0.016649282581154754,5.116,5.04,-0.07599999999999968,8.0,8.0
killRank,47.57626,47.9266,0.012777180992852688,0.010140000000000038,0.7343026659908807,0.0010509169914694144,0.013159395004398774,0.0,0.0,0.0,91.0,91.0
walkDist,1155.2215354900002,1146.16305422,-0.007655278790190952,0.00880000000000003,0.8699052414945595,0.0010405964686210213,0.009669215393749495,2.204,2.2800000000000002,0.07600000000000003,3384.0,3361.1000000000004
upgrades,1.10486,1.0914,-0.007858103399996328,0.007039999999999935,0.9767596426947159,0.000849064719550352,0.017642784899546033,56.864000000000004,56.36,-0.5040000000000044,5.0,5.0
damage_per_kill,53.572314473596975,53.24460369812411,-0.0044239189522493946,0.0049200000000000355,0.9998809595688269,0.0007923778320902959,0.007813763113212248,57.072,57.18,0.10799999999999699,190.6,189.90500000000003
combat_activity,1.80956,1.768,-0.015199049628999841,0.007059999999999955,0.9761070472905907,0.000717465311659096,0.01616453305105372,45.467999999999996,45.46,-0.007999999999996898,7.0,7.0
rideDist,602.2797718459999,587.46326414,-0.009925098328033696,0.00990000000000002,0.7606156411215751,0.0007142912534792196,0.01478394270924675,74.258,74.98,0.7220000000000004,4032.0,4037.0
kills,0.92104,0.8924,-0.01853508908774196,0.0048799999999999955,0.9998998197826324,0.0004368106695247039,0.018535089087741888,56.96600000000001,57.08,0.11399999999999189,4.0,4.0
heals,1.37698,1.3582,-0.006939859834418583,0.007220000000000004,0.9704407119741361,0.00025330128708289754,0.014522709877137793,59.541999999999994,58.81999999999999,-0.7220000000000004,7.0,6.0
mode_squad,0.5399,0.543,0.006219773511713978,0.003100000000000047,0.9999999999878604,3.8706131828428035e-05,0.006219773511713978,46.01,45.7,-0.30999999999999917,1.0,1.0
mode_duo,0.29794,0.2954,-0.0055536416331738855,0.0025399999999999867,1.0,3.091979922805301e-05,0.0055536416331738855,70.206,70.46,0.25399999999999867,1.0,1.0
mode_solo,0.1598,0.1606,0.0021832623118672088,0.0008000000000000229,1.0,4.757100813022319e-06,0.0021832623118669815,84.02,83.94,-0.07999999999999119,1.0,1.0
