feature,quantile,x_median,target_mean,target_median,ci95,rows
walkDist,1,15.425,0.09294828,0.04,0.0040936099902236876,5000
walkDist,2,72.7,0.15858624550179928,0.12,0.004278601240130267,5002
walkDist,3,155.4,0.22484498200719713,0.2,0.004218149450336348,5002
walkDist,4,280.1,0.29920050040032026,0.2857,0.004400115237072188,4996
walkDist,5,507.9,0.39299042,0.38375,0.0045716663435349065,5000
walkDist,6,911.9,0.5089004795204795,0.5052,0.00469834273044615,5005
walkDist,7,1428.0,0.6271542725635382,0.625,0.004723218086528272,4997
walkDist,8,1990.5,0.7332578568572571,0.7407,0.004354263930016405,5002
walkDist,9,2579.0,0.8161171165766846,0.8367,0.0037799932770851857,5001
walkDist,10,3384.0,0.8696917517517518,0.8929,0.0032493774943077327,4995
kills,1,0.0,0.40915907465987705,0.3704,0.002879540067651524,38883
kills,2,2.0,0.6147775187969925,0.6538,0.007334304731658871,5320
kills,3,3.0,0.7021357886617817,0.7692,0.009554571077994288,2593
kills,4,5.0,0.8164918851435705,0.8889,0.006907581119474999,3204
upgrades,1,0.0,0.35616012261429203,0.3125,0.00271129102729062,36048
upgrades,2,2.0,0.6831680442804428,0.7083,0.005487764716352988,5420
upgrades,3,3.0,0.7962906193734246,0.8247,0.0041828927147758346,5554
upgrades,4,6.0,0.8906641370047012,0.9259,0.00402891538735769,2978
killRank,1,6.0,0.8005423041474654,0.8763,0.005716458362038344,5425
killRank,2,15.0,0.6629971038477451,0.7083,0.007039234143653013,4834
killRank,3,24.0,0.6658203121704283,0.7407,0.007369395480496366,4741
killRank,4,34.0,0.45110692410119835,0.4375,0.0062858368690287955,5257
killRank,5,43.0,0.5872192662473794,0.7407,0.009398195325532018,4770
killRank,6,52.0,0.6359229421736674,0.6429,0.0039101572053347605,5309
killRank,7,62.0,0.43786735773217683,0.44,0.003013616819049043,4727
killRank,8,72.0,0.27506278500094217,0.2766,0.0023547280930043876,5307
killRank,9,82.0,0.1330997859922179,0.1364,0.0018642165727003703,5140
killRank,10,91.0,0.03336140311804009,0.0306,0.0010907012199137672,4490
