n_splits,model,fold,train_mae,train_rmse,train_r2,mae,rmse,r2,fit_seconds,predict_seconds,train_rows,validation_rows,shared_groups,shared_raw_game_ids,invalid_train_rows,invalid_validation_rows
3,CatBoost,1,0.05484358166746177,0.07463467942944646,0.940701681546211,0.061124676162926085,0.08548119490872634,0.9235232457377387,2.630349999992177,0.009379749986692332,26752,13376,0,0,52,24
3,CatBoost,2,0.05445803862605397,0.07405665941402871,0.9421393251430122,0.06236857150039103,0.08741262102479531,0.9185873885974214,2.598985624994384,0.008305666997330263,26752,13376,0,0,46,30
3,CatBoost,3,0.05481806689450503,0.07464476416461614,0.9411644876365893,0.06119863610672731,0.08605365203515461,0.9212373166082406,2.6075773330085212,0.007763624991639517,26752,13376,0,0,54,22
3,XGBoost,1,0.04931589626204125,0.0672588731929226,0.9518429129879166,0.06343419561481957,0.08899012181782326,0.9171157748782021,0.2828937079902971,0.009390834005898796,26752,13376,0,0,52,24
3,XGBoost,2,0.04864592118904268,0.06619078065862549,0.953777836908086,0.06444783706127702,0.09014738717621155,0.9134135991256889,0.2632782909931848,0.010238959002890624,26752,13376,0,0,46,30
3,XGBoost,3,0.04914915496875867,0.06706905216216154,0.9525009222959173,0.06336143974212066,0.08894313627065907,0.9158591741818009,0.27171087499300484,0.009116083005210385,26752,13376,0,0,54,22
5,CatBoost,1,0.054881609230725124,0.07479038961257937,0.9408525641739303,0.06334133120636623,0.08960282019957358,0.9146700797185129,3.0593487080041086,0.00903587500215508,32102,8026,0,0,59,17
5,CatBoost,2,0.055276831248075815,0.07542001179447579,0.9398359244970936,0.060892333811263355,0.08609267809248555,0.9213180037058939,2.905781916997512,0.005499249993590638,32102,8026,0,0,59,17
5,CatBoost,3,0.05537864517057571,0.07530741125012247,0.9400567046956548,0.06078824428558796,0.084829374234356,0.9233770867658738,2.9454515830002492,0.005714667000574991,32102,8026,0,0,62,14
5,CatBoost,4,0.055330891630314544,0.07525900419786936,0.9399254418708111,0.06145405894920489,0.08660821220113453,0.9212452358863275,2.9024412500002654,0.005897292008739896,32103,8025,0,0,62,14
5,CatBoost,5,0.05547528723830318,0.07548117768884899,0.9396275639033868,0.06076614657329897,0.08516755968170199,0.9235625225960524,2.887660665990552,0.007429499994032085,32103,8025,0,0,62,14
5,XGBoost,1,0.049943179774228075,0.0679374677729976,0.9511951433736725,0.06530823344570179,0.0920792665609371,0.9098881959348832,0.3264521670062095,0.01016358299239073,32102,8026,0,0,59,17
5,XGBoost,2,0.050686565278458155,0.069249877398636,0.9492773338592658,0.06261743034513181,0.08921151113589372,0.9155140043417546,0.30443320800259244,0.009977333000279032,32102,8026,0,0,59,17
