feature,mae_increase_mean,mae_increase_std
killRank,0.2656839764449842,0.0013453212274963536
walk_distance_per_match_minute,0.08723084861822036,0.0004357736801625205
kills,0.07517738264857436,0.0016465029352942331
maxRank,0.05424222136229393,0.0003877741904097872
walkDist,0.016201397067553924,0.00023174704929158923
mode_solo,0.009488340873596856,0.0002383432360050027
mode_squad,0.008874329534000084,0.00022110663159936273
mode_duo,0.008813275741697348,0.00028913159054168384
damage_per_kill,0.003395497538273311,0.000287482392667733
upgrades,0.0022165029870903005,5.2196715325797544e-05
rideDist,0.0021286891371846183,7.382377817981976e-05
resource_activity,0.0019300786277313838,0.0001265316411763396
damages,0.0014888812747190102,9.020943951706856e-05
weapons,0.0008973653743699211,5.9930095987024234e-05
combat_activity,0.0008024692454920934,9.01689630115785e-05
heals,0.0001307922556423202,3.283437803110021e-05
