rank,feature,mean_abs_shap,mean_shap,positive_shap_share,explained_rows,holdout_rows
1,killRank,0.19127494671899722,0.01644419948751592,0.584,2000,9872
2,walk_distance_per_match_minute,0.11119726552004906,-0.004707481487654817,0.452,2000,9872
3,kills,0.07024397198428192,-0.012981769257665383,0.598,2000,9872
4,maxRank,0.05416362818973568,0.03426171018316297,0.6075,2000,9872
5,walkDist,0.02476761882803808,0.0019932621405052728,0.523,2000,9872
6,resource_activity,0.016529608018685398,0.0011962960877489862,0.4445,2000,9872
7,upgrades,0.013954174901492835,0.0007874626665697941,0.3,2000,9872
8,mode_duo,0.013696139389493753,-0.013694828262725674,0.0005,2000,9872
9,mode_squad,0.013421934447959243,-0.009070703305818323,0.453,2000,9872
10,rideDist,0.01254780606234058,0.00022671491831060707,0.2115,2000,9872
11,damage_per_kill,0.012488331273283531,-0.009431847846662173,0.288,2000,9872
12,mode_solo,0.011924660354930785,-0.0090000997511227,0.7885,2000,9872
13,weapons,0.004560372629275072,-0.0003074076910882496,0.5835,2000,9872
14,damages,0.003897988111609212,0.0012747684470723526,0.587,2000,9872
15,combat_activity,0.0019729820305824032,2.985737127290136e-05,0.62,2000,9872
16,heals,0.0017126419214710867,-0.00012110172372417922,0.41,2000,9872
