dimension,subgroup,rows,target_mean,prediction_mean,bias,mae,rmse
mode_family,duo,14897,0.4859262737463919,0.48580707831256287,-0.00011919543382902907,0.05289599777420794,0.07393724567631862
mode_family,solo,7990,0.48451922403003755,0.48529526985207105,0.0007760458220334898,0.047215356476911254,0.07241689166300153
mode_family,special,118,0.4481508474576271,0.4693803605702469,0.02122951311261977,0.10046383302418861,0.1359947642745017
mode_family,squad,26995,0.46132960548249674,0.46103711026709016,-0.00029249521540660047,0.07058330678884588,0.0964555755083751
gameType,crashfpp,74,0.4913027027027027,0.5365509425063391,0.045248239803636396,0.09787026257289422,0.12900823536408398
gameType,crashtpp,6,0.57575,0.5915735935171446,0.01582359351714452,0.21304765236775078,0.25954854701539615
gameType,duo,3518,0.47530810119386013,0.48432387475412686,0.00901577356026673,0.057215980908938355,0.0789318007322568
gameType,duo-fpp,11310,0.4890176392572944,0.4857781331244146,-0.003239506132879856,0.05084837582557744,0.07019517102389432
gameType,flarefpp,8,0.4065,0.33925142604857683,-0.06724857395142317,0.07115978691726922,0.09581841508927195
gameType,flaretpp,30,0.3272966666666666,0.31395532774428525,-0.013341338922381405,0.09215895523051422,0.1255822020153436
gameType,normal-duo,1,0.0,0.5661018490791321,0.5661018490791321,0.5661018490791321,0.5661018490791321
gameType,normal-duo-fpp,68,0.5282397058823529,0.5661745110444505,0.0379348051620976,0.16242096424074295,0.22592263658760087
gameType,normal-solo,2,0.2529,0.4334447532892227,0.1805447532892227,0.1805447532892227,0.23448646250666863
gameType,normal-solo-fpp,15,0.5354333333333333,0.5380276640256246,0.002594330692291258,0.191469277121226,0.21287946837339852
gameType,normal-squad,9,0.5216999999999999,0.6659595138496823,0.14425951384968227,0.2878525376796722,0.37990042593131346
gameType,normal-squad-fpp,220,0.5207090909090909,0.5077311593213711,-0.012977931587719782,0.1935423634598777,0.24777715704286632
gameType,solo,2039,0.4738901912702305,0.48825455806353685,0.014364366793306362,0.05588280884331988,0.09554066954061036
gameType,solo-fpp,5934,0.48812086282440176,0.48416259820686436,-0.003958264617537395,0.04382752314721855,0.06157609039437606
gameType,squad,6999,0.4524971567366767,0.46551142319515953,0.013014266458482839,0.07590896194913314,0.10222895613477734
gameType,squad-fpp,19767,0.46376859412151566,0.45883987706995644,-0.004928717051559233,0.06723020940368397,0.09086422554048769
observed_team_rows,1,48830,0.474492805652263,0.47430291261180996,-0.00018989304045293498,0.061449647746428755,0.08651221322460102
observed_team_rows,2,1146,0.38745759162303667,0.3939968898637325,0.006539298240695861,0.07064257747429556,0.09862711520838346
observed_team_rows,3,24,0.1298625,0.1637194720484937,0.03385697204849372,0.03961595462442686,0.05207652439053625
rank_grid_size,≤5,20,0.633335,0.5823389917612076,-0.05099600823879241,0.3289549783945084,0.39081386288129843
rank_grid_size,6–20,422,0.42207180094786734,0.4335285208063306,0.011456719858463306,0.17598540603731674,0.25207075511034016
rank_grid_size,21–80,41778,0.4697938316817464,0.4696962799156648,-9.755176608154223e-05,0.06350355374080327,0.0870514179043436
rank_grid_size,>80,7780,0.4882775192802057,0.4881868802076534,-9.063907255225011e-05,0.04480682095831978,0.06231812852691908
target_band,0–0.1,7080,0.035884957627118644,0.06538100966725884,0.02949605204014019,0.03736313944579985,0.06702967887528012
target_band,0.1–0.25,8140,0.17417379606879607,0.19419372450487107,0.020019928436075,0.05017048564866881,0.07126812843975662
target_band,0.25–0.5,12022,0.37551080519048413,0.380877902527713,0.005367097337228886,0.06347166108577784,0.08530633734349335
target_band,0.5–0.75,10745,0.6312282550023266,0.639777137115147,0.008548882112820353,0.0726111408242851,0.0941628567184626
target_band,0.75–0.9,6805,0.8295129610580455,0.8097800396716743,-0.0197329213863712,0.06548150302424491,0.09029989555240138
target_band,0.9–1,5208,0.960639861751152,0.884822159673133,-0.075817702078019,0.0807814995944829,0.11195168896473355
kill_band,0,28483,0.3721131622371239,0.37193755314871796,-0.00017560908840591252,0.04884133511938819,0.07005687876500019
kill_band,1,10400,0.5106185673076923,0.5108987175058036,0.0002801501981113104,0.0771285265972481,0.101436062025774
kill_band,2–3,7913,0.6434038291419184,0.6434141499550939,1.0320813175580172e-05,0.08160049416239278,0.10894295907650584
kill_band,4+,3204,0.8164918851435705,0.8168167194000419,0.0003248342564713181,0.07600010643905021,0.10593497304155357
pseudo_month,2024-01,13025,0.47180275623800383,0.4721845120713768,0.00038175583337295057,0.06200536016845043,0.08748951352608156
pseudo_month,2024-02,11765,0.47112226094347637,0.47049921898057845,-0.0006230419628979488,0.06152106041224888,0.08657346268642094
pseudo_month,2024-03,13025,0.47514459117082536,0.47464270808276443,-0.0005018830880608831,0.06157585354179249,0.08653088385364471
pseudo_month,2024-04,12185,0.4710614854329093,0.4717121930351653,0.0006507076022559851,0.061473360018762656,0.08654737355209911
